"Equipo","Año","Ronda","Equipo Original","Comentario"
"Los Angeles Clippers",2027,1,"Brooklyn Nets","P- top 3. si no 1a nets 28"
"Los Angeles Clippers",2027,2,"Charlotte Hornets",""
"Los Angeles Clippers",2027,2,"Charlotte Hornets",""
"Los Angeles Clippers",2028,1,"New Orleans Pelicans",""
"Los Angeles Clippers",2030,1,"Los Angeles Clippers",""
"Los Angeles Clippers",2030,2,"Los Angeles Clippers",""
"Los Angeles Lakers",2027,1,"Los Angeles Lakers",""
"Los Angeles Lakers",2027,2,"Los Angeles Lakers",""
"Los Angeles Lakers",2027,2,"Houston Rockets",""
"Los Angeles Lakers",2028,1,"Los Angeles Lakers",""
"Los Angeles Lakers",2028,2,"Miami Heat",""
"Los Angeles Lakers",2028,2,"Milwaukee Bucks",""
"Los Angeles Lakers",2028,2,"Los Angeles Lakers",""
"Los Angeles Lakers",2028,2,"Oklahoma City Thunder",""
"Los Angeles Lakers",2029,1,"Los Angeles Lakers",""
"Los Angeles Lakers",2029,2,"New York Knicks",""
"Los Angeles Lakers",2029,2,"Los Angeles Lakers",""
"Los Angeles Lakers",2030,1,"Los Angeles Lakers",""
"Los Angeles Lakers",2030,2,"Los Angeles Lakers",""
"Phoenix Suns",2027,1,"Phoenix Suns",""
"Phoenix Suns",2028,1,"Phoenix Suns",""
"Phoenix Suns",2028,2,"Phoenix Suns",""
"Phoenix Suns",2029,1,"Phoenix Suns",""
"Phoenix Suns",2029,2,"Phoenix Suns",""
"Phoenix Suns",2030,1,"Phoenix Suns",""
"Phoenix Suns",2030,2,"Phoenix Suns",""
"Sacramento Kings",2027,1,"Sacramento Kings",""
"Sacramento Kings",2027,2,"Sacramento Kings",""
"Sacramento Kings",2027,2,"Oklahoma City Thunder",""
"Sacramento Kings",2028,1,"Sacramento Kings",""
"Sacramento Kings",2028,2,"Sacramento Kings",""
"Sacramento Kings",2028,2,"New Orleans Pelicans",""
"Sacramento Kings",2029,1,"Sacramento Kings",""
"Sacramento Kings",2029,2,"Milwaukee Bucks",""
"Sacramento Kings",2029,2,"Sacramento Kings",""
"Sacramento Kings",2030,1,"Sacramento Kings",""
"Sacramento Kings",2030,2,"Sacramento Kings",""
"Dallas Mavericks",2027,2,"Philadelphia 76ers",""
"Dallas Mavericks",2027,2,"Miami Heat",""
"Dallas Mavericks",2028,1,"Dallas Mavericks",""
"Dallas Mavericks",2028,2,"Dallas Mavericks",""
"Dallas Mavericks",2029,1,"Dallas Mavericks",""
"Dallas Mavericks",2029,2,"Dallas Mavericks",""
"Dallas Mavericks",2030,1,"Dallas Mavericks",""
"Dallas Mavericks",2030,2,"Denver Nuggets",""
"Houston Rockets",2027,2,"Memphis Grizzlies",""
"Houston Rockets",2028,1,"Houston Rockets",""
"Houston Rockets",2028,2,"Los Angeles Clippers",""
"Houston Rockets",2029,1,"Houston Rockets",""
"Houston Rockets",2030,1,"Houston Rockets",""
"Houston Rockets",2030,2,"Houston Rockets",""
"Memphis Grizzlies",2027,1,"Boston Celtics","Swap con 1a Heat 27 (mejor)"
"Memphis Grizzlies",2027,1,"Atlanta Hawks",""
"Memphis Grizzlies",2027,1,"Los Angeles Clippers",""
"Memphis Grizzlies",2028,1,"Los Angeles Clippers","Swap con NYK (mejor)"
"Memphis Grizzlies",2028,1,"Memphis Grizzlies",""
"Memphis Grizzlies",2029,1,"Memphis Grizzlies",""
"Memphis Grizzlies",2030,1,"Memphis Grizzlies",""
"Memphis Grizzlies",2030,2,"Memphis Grizzlies",""
"New Orleans Pelicans",2027,1,"New Orleans Pelicans",""
"New Orleans Pelicans",2028,2,"Philadelphia 76ers",""
"New Orleans Pelicans",2028,2,"Portland Trail Blazers",""
"New Orleans Pelicans",2029,1,"Los Angeles Clippers",""
"New Orleans Pelicans",2029,1,"New Orleans Pelicans",""
"New Orleans Pelicans",2029,2,"Boston Celtics",""
"New Orleans Pelicans",2029,2,"Toronto Raptors",""
"New Orleans Pelicans",2030,1,"New Orleans Pelicans",""
"New Orleans Pelicans",2030,2,"New Orleans Pelicans",""
"San Antonio Spurs",2027,1,"Denver Nuggets",""
"San Antonio Spurs",2027,1,"San Antonio Spurs",""
"San Antonio Spurs",2028,2,"New York Knicks",""
"San Antonio Spurs",2029,1,"San Antonio Spurs",""
"San Antonio Spurs",2030,1,"San Antonio Spurs",""
"San Antonio Spurs",2030,2,"San Antonio Spurs",""
